Power,Structure,melting_duration,t1_42,t9_42,ab_42,ab_50,ab_55,ac_42,ac_50,ac_55,ab_expansion,duration,t1_end
10W,Gyroid,11.75,3.2666666666666666,15.75,4.426666666666669,5.359999999999992,5.5,8.57,10.439999999999998,13.079999999999998,24.246987951807153,31.966666666666665,106.52
10W,IWP,12.333333333333332,2.45,16.4,6.119999999999997,7.725000000000001,7.329999999999998,9.43,11.760000000000005,14.165,19.77124183006538,29.783333333333335,99.5
10W,Primitive,8.283333333333333,1.5666666666666667,13.4,7.443333333333328,9.616666666666667,11.25,10.749999999999996,14.439999999999998,17.36,51.14196148678918,22.333333333333332,106.8
20W,Gyroid,2.0999999999999996,0.9333333333333333,6.616666666666666,9.079999999999991,10.576666666666668,12.700000000000003,12.39,14.46,16.270000000000003,39.86784140969179,11.466666666666667,102.95
20W,IWP,0.9333333333333333,0.8,6.866666666666666,11.125,13.29,14.644999999999996,13.649999999999999,17.799999999999997,18.779999999999994,31.64044943820221,12.066666666666666,108.13
20W,Primitive,0.5666666666666667,0.48333333333333334,6.95,13.956666666666667,18.043333333333337,19.443333333333328,15.330000000000002,20.78,23.33,39.312156675423886,11.683333333333334,115.76
30W,Gyroid,0.6166666666666667,0.35,5.85,12.410000000000004,14.43,15.75,15.670000000000002,21.58,23.949999999999996,26.913779210314225,9.383333333333333,124.0
30W,IWP,0.4000000000000001,0.36666666666666664,6.083333333333333,14.659999999999997,18.65,19.760000000000005,17.189999999999998,23.83,27.189999999999998,34.78854024556624,9.616666666666667,137.45
30W,Primitive,0.2833333333333333,0.65,5.05,16.083333333333336,21.55,24.126666666666665,17.32,24.08,27.38,50.01036269430049,12.033333333333333,92.4
