,mean,std,min,max,initial,final
T1,79.77702010968922,5.514777291651762,70.81,90.0,90.0,70.81
T2-T5,80.26455010685844,5.537773364754874,71.2696165878454,90.39333333333333,90.39333333333333,71.2696165878454
T6-T9,71.90503857156877,4.651288232571951,64.51704534570112,80.09666666666668,80.09666666666668,64.51704534570112
