sensor,peak_temp_C,peak_time_s,peak_time_min
T1,106.8,1616.0,26.933333333333334
T2,92.66,1616.0,26.933333333333334
T3,94.37,1616.0,26.933333333333334
T4,93.05,1616.0,26.933333333333334
T5,93.45,1616.0,26.933333333333334
T6,72.63,1604.0,26.733333333333334
T7,48.33,1617.0,26.95
T8,70.25,1616.0,26.933333333333334
T9,67.54,1616.0,26.933333333333334
