,mean,std,min,max,initial,final
T1,63.7341225165563,18.015964987184535,27.74,103.91,28.56,103.91
T2-T5,51.44974350664005,17.130437116825412,28.328034398003204,90.62661465960925,28.463333333333335,90.62661465960925
T6-T9,45.50390250246099,13.658317668882708,28.071020991479806,78.12859234237288,28.099999999999998,78.12859234237288
