功率,组别,mean,std,min,max,initial,final
10W,T1,78.63561206896551,17.554243008385136,28.53,109.41,28.63,109.4
10W,T2-T5,46.427672045413075,13.041188074052338,28.805695247068137,76.28028488055814,28.86,76.28028488055814
10W,T6-T9,44.31968675427147,11.963486916082122,28.37893283656669,71.54795042120911,28.466666666666665,71.53113225228003
20W,T1,109.57180762852406,19.06913537986684,25.16,144.71,25.16,144.71
20W,T2-T5,46.06252473344288,14.058108970802738,25.422399999999996,80.77172382262913,25.433333333333334,80.77172382262913
20W,T6-T9,45.396214667078446,13.529688501064019,25.482666666666667,78.72170383446516,25.486666666666668,78.72170383446516
