,mean,std,min,max,initial,final
T1,70.95873853211009,21.102162410640304,25.88,115.22,26.3,103.45
T2-T5,52.524045931333944,19.27394583505541,26.02282751249067,95.34176040337701,26.046666666666667,95.34176040337701
T6-T9,44.72215373053523,14.763649044151709,26.113833129984002,80.10064899109243,26.159999999999997,80.10064899109243
