,mean,std,min,max,initial,final
T1,58.28982243744955,17.153820021367647,26.32,93.77,26.32,93.77
T2-T5,52.073102798613775,16.91413692451084,26.274532087807998,87.26819945613326,26.38,87.26819945613326
T6-T9,47.13382934245896,13.84753968653182,26.427861333333333,76.65029646223644,26.433333333333337,76.65029646223644
